model,hardware,tp,batch_size,prompt_plus_token_size,token_time,layer_time,Matmul,BatchedMatmul,Softmax,LayerNorm,GeLU,AllReduce,Others
Bloom-176B,H100x8,8,1,260,0.029329,0.00041899,0.00032382,3.7941e-05,6.2467e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,264,0.029332,0.00041903,0.00032382,3.7984e-05,6.2467e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,257,0.029329,0.00041898,0.00032382,3.7933e-05,6.2467e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,392,0.029369,0.00041956,0.00032382,3.8507e-05,6.2528e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,385,0.029367,0.00041953,0.00032382,3.8483e-05,6.2528e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,386,0.029368,0.00041954,0.00032382,3.8489e-05,6.2528e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,388,0.029368,0.00041955,0.00032382,3.8495e-05,6.2528e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,272,0.029334,0.00041906,0.00032382,3.801e-05,6.2478e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,320,0.029348,0.00041926,0.00032382,3.8208e-05,6.2488e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,288,0.029338,0.00041911,0.00032382,3.8066e-05,6.2478e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,384,0.029367,0.00041953,0.00032382,3.848e-05,6.2528e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,448,0.029385,0.00041979,0.00032382,3.8731e-05,6.2548e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,400,0.029371,0.00041959,0.00032382,3.8537e-05,6.2538e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,416,0.029377,0.00041967,0.00032382,3.8619e-05,6.2538e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,512,0.029405,0.00042007,0.00032382,3.9008e-05,6.2589e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,514,0.029405,0.00042007,0.00032382,3.9013e-05,6.2599e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,520,0.029407,0.00042009,0.00032382,3.9036e-05,6.2599e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,516,0.029405,0.00042008,0.00032382,3.9019e-05,6.2599e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,513,0.029405,0.00042007,0.00032382,3.901e-05,6.2599e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,528,0.02941,0.00042015,0.00032382,3.909e-05,6.2599e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,576,0.029424,0.00042035,0.00032382,3.9284e-05,6.2619e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,544,0.029414,0.0004202,0.00032382,3.9144e-05,6.2609e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,640,0.029442,0.0004206,0.00032382,3.9532e-05,6.268e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,1026,0.029559,0.00042227,0.00032382,4.1169e-05,6.3043e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,1024,0.029559,0.00042227,0.00032382,4.1164e-05,6.3043e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,896,0.029519,0.0004217,0.00032382,4.0613e-05,6.2922e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,1025,0.029559,0.00042227,0.00032382,4.1166e-05,6.3043e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,772,0.029482,0.00042117,0.00032382,4.0096e-05,6.2801e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,769,0.029482,0.00042117,0.00032382,4.0088e-05,6.2801e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,768,0.029481,0.00042116,0.00032382,4.0085e-05,6.2801e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,770,0.029482,0.00042117,0.00032382,4.0091e-05,6.2801e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,784,0.029485,0.00042122,0.00032382,4.0142e-05,6.2801e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,832,0.029501,0.00042145,0.00032382,4.0362e-05,6.2861e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,776,0.029483,0.00042119,0.00032382,4.0113e-05,6.2801e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,800,0.029491,0.0004213,0.00032382,4.0222e-05,6.2831e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,1032,0.029561,0.0004223,0.00032382,4.1191e-05,6.3053e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,1056,0.029569,0.00042241,0.00032382,4.1302e-05,6.3073e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,1028,0.02956,0.00042228,0.00032382,4.1178e-05,6.3053e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,1040,0.029563,0.00042232,0.00032382,4.122e-05,6.3053e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,1536,0.029712,0.00042445,0.00032382,4.3298e-05,6.3538e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,1538,0.029712,0.00042446,0.00032382,4.3303e-05,6.3538e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,1540,0.029712,0.00042446,0.00032382,4.3307e-05,6.3538e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,1537,0.029712,0.00042445,0.00032382,4.33e-05,6.3538e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
