model,hardware,tp,batch_size,prompt_size,prompt_time,layer_time,Matmul,BatchedMatmul,Softmax,LayerNorm,GeLU,AllReduce,Others
Bloom-176B,H100x8,8,2,12288,3.7064,0.052949,0.022199,0.0092876,0.012423,0.0018738,0.00044994,0.0054539,0.0012612
Bloom-176B,H100x8,8,2,1024,0.21176,0.0030251,0.0020354,0.00011196,7.9462e-05,0.00016634,4.422e-05,0.00048263,0.0001051
Bloom-176B,H100x8,8,2,768,0.16526,0.0023609,0.0016077,8.6839e-05,5.2514e-05,0.0001299,3.5493e-05,0.00036965,7.8823e-05
Bloom-176B,H100x8,8,2,1536,0.31609,0.0045156,0.0029609,0.00020353,0.00017534,0.0002479,6.1673e-05,0.0007086,0.00015765
Bloom-176B,H100x8,8,2,2048,0.42247,0.0060353,0.0038811,0.00030686,0.00030189,0.00032157,7.9189e-05,0.00093456,0.0002102
Bloom-176B,H100x8,8,2,3072,0.65435,0.0093478,0.0057355,0.00064284,0.00067247,0.0004768,0.00011838,0.0013865,0.00031529
Bloom-176B,H100x8,8,2,4096,0.89912,0.012845,0.007531,0.0010776,0.0011918,0.00063202,0.00015329,0.0018384,0.00042039
Bloom-176B,H100x8,8,2,5120,1.1698,0.016712,0.0093723,0.0016887,0.0018552,0.00078725,0.00019254,0.0022904,0.00052549
Bloom-176B,H100x8,8,2,6144,1.4557,0.020796,0.011212,0.0023713,0.00267,0.00094248,0.00022745,0.0027423,0.00063059
Bloom-176B,H100x8,8,3,1,0.029326,0.00041894,0.00032417,3.6841e-05,6.2346e-06,1.4189e-05,5.9931e-06,3.1363e-05,1.5395e-07
Bloom-176B,H100x8,8,3,2,0.029362,0.00041946,0.00032467,3.5766e-05,6.2346e-06,1.4395e-05,6.0547e-06,3.2025e-05,3.079e-07
Bloom-176B,H100x8,8,2,14336,4.5448,0.064926,0.025862,0.012664,0.015863,0.0021843,0.0005241,0.0063577,0.0014714
Bloom-176B,H100x8,8,2,16384,5.5921,0.079887,0.029524,0.016488,0.021839,0.0024947,0.00059826,0.0072616,0.0016816
Bloom-176B,H100x8,8,3,64,0.037356,0.00053366,0.00036333,3.7609e-05,6.7599e-06,3.2458e-05,1.0582e-05,7.3069e-05,9.8529e-06
Bloom-176B,H100x8,8,3,128,0.052625,0.00075178,0.00050923,4.0072e-05,8.6538e-06,4.3141e-05,1.5542e-05,0.00011544,1.9706e-05
Bloom-176B,H100x8,8,3,256,0.089054,0.0012722,0.00087457,4.754e-05,1.5814e-05,7.4454e-05,2.0229e-05,0.00020018,3.9412e-05
Bloom-176B,H100x8,8,3,384,0.13468,0.001924,0.0013629,6.1254e-05,2.1444e-05,0.00010652,2.7861e-05,0.00028491,5.9118e-05
Bloom-176B,H100x8,8,3,4,0.029592,0.00042274,0.00032572,3.5805e-05,6.2659e-06,1.4805e-05,6.1779e-06,3.3349e-05,6.1581e-07
Bloom-176B,H100x8,8,3,8,0.030074,0.00042962,0.00032815,3.5894e-05,6.3013e-06,1.5625e-05,6.4244e-06,3.5997e-05,1.2316e-06
Bloom-176B,H100x8,8,3,16,0.031106,0.00044437,0.00033289,3.6078e-05,6.274e-06,1.8403e-05,6.9739e-06,4.1293e-05,2.4632e-06
Bloom-176B,H100x8,8,3,32,0.033129,0.00047328,0.00034187,3.6637e-05,6.373e-06,2.3251e-05,8.334e-06,5.1885e-05,4.9265e-06
Bloom-176B,H100x8,8,3,512,0.16295,0.0023278,0.0016077,7.0509e-05,3.5766e-05,0.0001299,3.5493e-05,0.00036965,7.8823e-05
Bloom-176B,H100x8,8,3,1024,0.30827,0.0044039,0.0029609,0.00014847,0.00011865,0.0002479,6.1673e-05,0.0007086,0.00015765
Bloom-176B,H100x8,8,3,768,0.2372,0.0033886,0.0023042,0.00011153,7.1568e-05,0.00019324,5.0757e-05,0.00053912,0.00011824
Bloom-176B,H100x8,8,3,1536,0.46405,0.0066294,0.0043447,0.00028352,0.00025823,0.00036669,9.2202e-05,0.0010475,0.00023647
Bloom-176B,H100x8,8,3,6144,2.1686,0.030979,0.016706,0.0034762,0.0040045,0.0014082,0.00034087,0.0040981,0.00094588
Bloom-176B,H100x8,8,3,7168,2.6267,0.037524,0.019452,0.0047053,0.0054446,0.0016449,0.00039758,0.004776,0.0011035
Bloom-176B,H100x8,8,3,8192,3.1195,0.044564,0.022199,0.0061129,0.0072131,0.0018738,0.00044994,0.0054539,0.0012612
Bloom-176B,H100x8,8,3,10240,4.2425,0.060608,0.027693,0.0095516,0.012074,0.0023395,0.00056335,0.0068097,0.0015765
Bloom-176B,H100x8,8,3,2048,0.62434,0.0089191,0.0057355,0.00043635,0.00045021,0.0004768,0.00011838,0.0013865,0.00031529
Bloom-176B,H100x8,8,3,3072,0.96714,0.013816,0.0084517,0.00093034,0.0010083,0.00071358,0.00017509,0.0020644,0.00047294
Bloom-176B,H100x8,8,3,4096,1.3378,0.019111,0.011212,0.0015709,0.0017851,0.00094248,0.00022745,0.0027423,0.00063059
Bloom-176B,H100x8,8,3,5120,1.7416,0.02488,0.013959,0.0024689,0.00278,0.0011793,0.00028416,0.0034202,0.00078823
Bloom-176B,H100x8,8,4,1,0.029373,0.00041961,0.00032447,3.6847e-05,6.2346e-06,1.4257e-05,6.0133e-06,3.1584e-05,2.0527e-07
Bloom-176B,H100x8,8,3,12288,5.531,0.079015,0.033186,0.013661,0.018633,0.0028052,0.00067242,0.0081655,0.0018918
Bloom-176B,H100x8,8,3,14336,6.7824,0.096891,0.03868,0.018637,0.023789,0.0032709,0.00078584,0.0095213,0.0022071
Bloom-176B,H100x8,8,3,16384,8.3459,0.11923,0.044174,0.024267,0.032757,0.0037358,0.00089491,0.010877,0.0025223
Bloom-176B,H100x8,8,4,16,0.031727,0.00045325,0.00033574,3.6214e-05,6.2821e-06,1.9498e-05,7.4072e-06,4.4824e-05,3.2843e-06
Bloom-176B,H100x8,8,4,4,0.029746,0.00042495,0.0003264,3.5889e-05,6.2669e-06,1.5077e-05,6.2598e-06,3.4232e-05,8.2108e-07
Bloom-176B,H100x8,8,4,2,0.029441,0.00042058,0.000325,3.5843e-05,6.2346e-06,1.453e-05,6.0961e-06,3.2466e-05,4.1054e-07
Bloom-176B,H100x8,8,4,8,0.030376,0.00043394,0.00032954,3.5996e-05,6.2346e-06,1.6172e-05,6.588e-06,3.7762e-05,1.6422e-06
Bloom-176B,H100x8,8,4,32,0.034441,0.00049201,0.00034863,3.6876e-05,6.4296e-06,2.5637e-05,8.9284e-06,5.8947e-05,6.5686e-06
Bloom-176B,H100x8,8,4,64,0.040421,0.00057745,0.00038192,3.8031e-05,6.9205e-06,3.8013e-05,1.2236e-05,8.7192e-05,1.3137e-05
Bloom-176B,H100x8,8,4,128,0.063716,0.00091023,0.00061584,4.0954e-05,9.2013e-06,5.6233e-05,1.804e-05,0.00014368,2.6274e-05
Bloom-176B,H100x8,8,4,256,0.11059,0.0015799,0.0010831,4.9782e-05,1.8312e-05,9.2674e-05,2.6766e-05,0.00025667,5.2549e-05
Bloom-176B,H100x8,8,4,512,0.20685,0.002955,0.0020354,7.686e-05,4.4493e-05,0.00016634,4.422e-05,0.00048263,0.0001051
Bloom-176B,H100x8,8,4,384,0.16211,0.0023159,0.0016077,6.6131e-05,2.8255e-05,0.0001299,3.5493e-05,0.00036965,7.8823e-05
Bloom-176B,H100x8,8,4,768,0.30502,0.0043575,0.0029609,0.00012549,9.5224e-05,0.0002479,6.1673e-05,0.0007086,0.00015765
Bloom-176B,H100x8,8,4,1024,0.40247,0.0057496,0.0038811,0.00016945,0.00015356,0.00032157,7.9189e-05,0.00093456,0.0002102
Bloom-176B,H100x8,8,4,5120,2.2897,0.032711,0.018537,0.0029288,0.0037049,0.0015634,0.00037577,0.00455,0.001051
